model,layer,direction,mult,c,gold_lp,gold_lp_sem
GradDiff,12,content,-1.0,-1.1640334129333496,-0.343284672042937,0.020816055339826483
GradDiff,12,content,-0.5,-0.5820167064666748,-0.34052088464435654,0.02135044094093704
GradDiff,12,content,0.5,0.5820167064666748,-0.35806201383704317,0.022424064411530952
GradDiff,12,content,1.0,1.1640334129333496,-0.3773352400562726,0.02290205629547479
GradDiff,12,content,2.0,2.328066825866699,-0.44044255183660425,0.02351581600086661
GradDiff,12,content,4.0,4.656133651733398,-0.7010912791267038,0.02525224739789113
GradDiff,12,random,-4.0,-5.051523685455322,-0.5738504971330985,0.021950653803302928
GradDiff,12,random,-2.0,-2.525761842727661,-0.3846908987034112,0.021165388330355597
GradDiff,12,random,-1.0,-1.2628809213638306,-0.35294872378464787,0.021579604380651596
GradDiff,12,random,-0.5,-0.6314404606819153,-0.3467498094472103,0.02176393407831498
GradDiff,12,random,0.5,0.6314404606819153,-0.34992245565052144,0.021967000798756187
GradDiff,12,random,1.0,1.2628809213638306,-0.35982934542465955,0.022015475415602368
GradDiff,12,random,2.0,2.525761842727661,-0.40102383453398943,0.02209100669702656
GradDiff,12,random,4.0,5.051523685455322,-0.6174295192630962,0.023745813683052466
base,8,epistemic,-4.0,-7.138071254331625,-3.0924608862400054,0.06920552270549914
base,8,epistemic,-2.0,-3.5690356271658126,-0.9337543012481183,0.030427659763886155
base,8,epistemic,-1.0,-1.7845178135829063,-0.3257806083979085,0.012256625096213674
base,8,epistemic,-0.5,-0.8922589067914531,-0.18811055790632963,0.008271472411655054
base,8,epistemic,0.0,0.0,-0.15183148346375674,0.007457408904589781
base,8,epistemic,0.5,0.8922589067914531,-0.19858520184177905,0.00860042880592424
base,8,epistemic,1.0,1.7845178135829063,-0.45927504234947264,0.016365149258024566
base,8,epistemic,2.0,3.5690356271658126,-2.0574807597696783,0.04543661797136648
base,8,epistemic,4.0,7.138071254331625,-7.213980382680893,0.0737285841449773
base,8,content,-4.0,-1.591508388519287,-0.27980800535064193,0.011068266997500633
base,8,content,-2.0,-0.7957541942596436,-0.17429490419570356,0.008006576935778444
base,8,content,-1.0,-0.3978770971298218,-0.15635462514590473,0.0075581618603383915
base,8,content,-0.5,-0.1989385485649109,-0.15266375221079215,0.0074680666051533525
base,8,content,0.5,0.1989385485649109,-0.15386620227945969,0.0075309256118168974
base,8,content,1.0,0.3978770971298218,-0.15880935664987192,0.007700556870863747
base,8,content,2.0,0.7957541942596436,-0.17893232791451738,0.008343239976868323
base,8,content,4.0,1.591508388519287,-0.2799704322416801,0.01144767550041192
base,8,random,-4.0,-7.138071254331625,-3.179848294109106,0.062090260521000785
base,8,random,-2.0,-3.5690356271658126,-0.757953398451209,0.023556813902205882
base,8,random,-1.0,-1.7845178135829063,-0.2601583766844124,0.010033847248961794
base,8,random,-0.5,-0.8922589067914531,-0.17323485577711836,0.007827414563218026
base,8,random,0.5,0.8922589067914531,-0.17202840793412177,0.008154954019197557
base,8,random,1.0,1.7845178135829063,-0.2568455005856231,0.010463787834350292
base,8,random,2.0,3.5690356271658126,-0.8556373207457364,0.02553858154748557
base,8,random,4.0,7.138071254331625,-3.790349403619766,0.06813640369928695
base,12,epistemic,-4.0,-15.36025631094379,-2.6046509671211244,0.04022398552151724
base,12,epistemic,-2.0,-7.680128155471895,-0.7266869490966201,0.01999022011052627
base,12,epistemic,-1.0,-3.8400640777359474,-0.28021985371597113,0.010334023197649303
base,12,epistemic,-0.5,-1.9200320388679737,-0.18675608134828509,0.008250902101214692
base,12,epistemic,0.0,0.0,-0.15183148346375674,0.007457408904589781
base,12,epistemic,0.5,1.9200320388679737,-0.17387897254666312,0.008086737920893587
base,12,epistemic,1.0,3.8400640777359474,-0.3089222451020032,0.011395573792799136
base,12,epistemic,2.0,7.680128155471895,-1.3633657062053681,0.033472291257491724
base,12,epistemic,4.0,15.36025631094379,-5.517215216159821,0.06458923287161651
base,12,content,-4.0,-4.656133651733398,-0.39942513935035096,0.01292496959151708
base,12,content,-2.0,-2.328066825866699,-0.2034260316856671,0.008604981503632095
base,12,content,-1.0,-1.1640334129333496,-0.16542687525041402,0.0077452673353223455
base,12,content,-0.5,-0.5820167064666748,-0.1559684049617499,0.007535084346026359
base,12,content,0.5,0.5820167064666748,-0.15293093872256577,0.0075000456530787026
base,12,content,1.0,1.1640334129333496,-0.1595577651588246,0.007679109663920116
base,12,content,2.0,2.328066825866699,-0.19372085853945464,0.008526129012970635
base,12,content,4.0,4.656133651733398,-0.3868540855869651,0.01276203784439756
base,12,random,-4.0,-15.36025631094379,-2.6599582585692407,0.04868239925272687
base,12,random,-2.0,-7.680128155471895,-0.6565443989261985,0.020017160205492282
base,12,random,-1.0,-3.8400640777359474,-0.24977414576802404,0.009518585938852825
base,12,random,-0.5,-1.9200320388679737,-0.17366104904096574,0.007980167030193122
base,12,random,0.5,1.9200320388679737,-0.17193714739289134,0.0079732956068972
base,12,random,1.0,3.8400640777359474,-0.25075005802791567,0.009846941306677012
base,12,random,2.0,7.680128155471895,-0.7222066471725702,0.020954918921531274
base,12,random,4.0,15.36025631094379,-3.127280223369598,0.04967250256379872
